Product,Date,CPI_Value
Food and energy 9,January 2015,139.0
Fresh fruit and vegetables,January 2015,129.9
Energy 9,January 2015,139.5
Food and energy 9,February 2015,141.0
Fresh fruit and vegetables,February 2015,130.3
Energy 9,February 2015,145.1
Food and energy 9,March 2015,142.5
Fresh fruit and vegetables,March 2015,128.3
Energy 9,March 2015,149.8
Food and energy 9,April 2015,141.9
Fresh fruit and vegetables,April 2015,124.5
Energy 9,April 2015,148.1
Food and energy 9,May 2015,144.2
Fresh fruit and vegetables,May 2015,130.1
Energy 9,May 2015,152.4
Food and energy 9,June 2015,145.9
Fresh fruit and vegetables,June 2015,129.2
Energy 9,June 2015,157.5
Food and energy 9,July 2015,146.3
Fresh fruit and vegetables,July 2015,130.3
Energy 9,July 2015,159.2
Food and energy 9,August 2015,145.3
Fresh fruit and vegetables,August 2015,124.9
Energy 9,August 2015,156.1
Food and energy 9,September 2015,142.9
Fresh fruit and vegetables,September 2015,124.0
Energy 9,September 2015,149.3
Food and energy 9,October 2015,142.4
Fresh fruit and vegetables,October 2015,126.0
Energy 9,October 2015,146.6
Food and energy 9,November 2015,143.0
Fresh fruit and vegetables,November 2015,132.5
Energy 9,November 2015,146.5
Food and energy 9,December 2015,142.6
Fresh fruit and vegetables,December 2015,139.0
Energy 9,December 2015,143.4
Food and energy 9,January 2016,142.7
Fresh fruit and vegetables,January 2016,150.3
Energy 9,January 2016,139.0
Food and energy 9,February 2016,141.6
Fresh fruit and vegetables,February 2016,151.1
Energy 9,February 2016,134.6
Food and energy 9,March 2016,142.4
Fresh fruit and vegetables,March 2016,145.2
Energy 9,March 2016,138.1
Food and energy 9,April 2016,143.5
Fresh fruit and vegetables,April 2016,138.7
Energy 9,April 2016,143.4
Food and energy 9,May 2016,144.2
Fresh fruit and vegetables,May 2016,134.4
Energy 9,May 2016,146.9
Food and energy 9,June 2016,145.1
Fresh fruit and vegetables,June 2016,135.4
Energy 9,June 2016,150.6
Food and energy 9,July 2016,144.3
Fresh fruit and vegetables,July 2016,133.5
Energy 9,July 2016,147.4
Food and energy 9,August 2016,143.5
Fresh fruit and vegetables,August 2016,126.3
Energy 9,August 2016,147.0
Food and energy 9,September 2016,142.4
Fresh fruit and vegetables,September 2016,121.6
Energy 9,September 2016,147.3
Food and energy 9,October 2016,142.9
Fresh fruit and vegetables,October 2016,119.2
Energy 9,October 2016,150.2
Food and energy 9,November 2016,142.4
Fresh fruit and vegetables,November 2016,126.5
Energy 9,November 2016,146.8
Food and energy 9,December 2016,143.1
Fresh fruit and vegetables,December 2016,127.7
Energy 9,December 2016,149.1
Food and energy 9,January 2017,145.6
Fresh fruit and vegetables,January 2017,130.3
Energy 9,January 2017,155.8
Food and energy 9,February 2017,144.4
Fresh fruit and vegetables,February 2017,130.4
Energy 9,February 2017,151.1
Food and energy 9,March 2017,144.1
Fresh fruit and vegetables,March 2017,129.0
Energy 9,March 2017,149.8
Food and energy 9,April 2017,146.5
Fresh fruit and vegetables,April 2017,130.3
Energy 9,April 2017,157.2
Food and energy 9,May 2017,145.6
Fresh fruit and vegetables,May 2017,135.5
Energy 9,May 2017,151.8
Food and energy 9,June 2017,145.0
Fresh fruit and vegetables,June 2017,137.8
Energy 9,June 2017,148.7
Food and energy 9,July 2017,145.2
Fresh fruit and vegetables,July 2017,138.5
Energy 9,July 2017,147.8
Food and energy 9,August 2017,145.6
Fresh fruit and vegetables,August 2017,132.0
Energy 9,August 2017,150.4
Food and energy 9,September 2017,145.9
Fresh fruit and vegetables,September 2017,124.9
Energy 9,September 2017,154.5
Food and energy 9,October 2017,144.6
Fresh fruit and vegetables,October 2017,120.3
Energy 9,October 2017,151.7
Food and energy 9,November 2017,147.2
Fresh fruit and vegetables,November 2017,128.2
Energy 9,November 2017,157.9
Food and energy 9,December 2017,146.9
Fresh fruit and vegetables,December 2017,132.9
Energy 9,December 2017,155.8
Food and energy 9,January 2018,148.9
Fresh fruit and vegetables,January 2018,138.2
Energy 9,January 2018,159.5
Food and energy 9,February 2018,148.9
Fresh fruit and vegetables,February 2018,135.9
Energy 9,February 2018,159.1
Food and energy 9,March 2018,149.1
Fresh fruit and vegetables,March 2018,132.7
Energy 9,March 2018,161.0
Food and energy 9,April 2018,151.3
Fresh fruit and vegetables,April 2018,132.3
Energy 9,April 2018,167.1
Food and energy 9,May 2018,151.8
Fresh fruit and vegetables,May 2018,133.4
Energy 9,May 2018,169.4
Food and energy 9,June 2018,151.8
Fresh fruit and vegetables,June 2018,138.5
Energy 9,June 2018,167.2
Food and energy 9,July 2018,152.7
Fresh fruit and vegetables,July 2018,140.8
Energy 9,July 2018,168.8
Food and energy 9,August 2018,152.0
Fresh fruit and vegetables,August 2018,136.0
Energy 9,August 2018,167.2
Food and energy 9,September 2018,151.1
Fresh fruit and vegetables,September 2018,130.9
Energy 9,September 2018,166.3
Food and energy 9,October 2018,150.1
Fresh fruit and vegetables,October 2018,128.3
Energy 9,October 2018,163.7
Food and energy 9,November 2018,148.8
Fresh fruit and vegetables,November 2018,136.2
Energy 9,November 2018,155.8
Food and energy 9,December 2018,148.2
Fresh fruit and vegetables,December 2018,146.2
Energy 9,December 2018,150.1
Food and energy 9,January 2019,148.6
Fresh fruit and vegetables,January 2019,147.9
Energy 9,January 2019,148.5
Food and energy 9,February 2019,149.5
Fresh fruit and vegetables,February 2019,149.0
Energy 9,February 2019,150.1
Food and energy 9,March 2019,152.1
Fresh fruit and vegetables,March 2019,149.3
Energy 9,March 2019,159.1
Food and energy 9,April 2019,154.3
Fresh fruit and vegetables,April 2019,147.5
Energy 9,April 2019,168.2
Food and energy 9,May 2019,155.1
Fresh fruit and vegetables,May 2019,147.1
Energy 9,May 2019,169.2
Food and energy 9,June 2019,153.4
Fresh fruit and vegetables,June 2019,153.5
Energy 9,June 2019,160.3
Food and energy 9,July 2019,154.9
Fresh fruit and vegetables,July 2019,152.5
Energy 9,July 2019,163.4
Food and energy 9,August 2019,153.4
Fresh fruit and vegetables,August 2019,146.2
Energy 9,August 2019,159.3
Food and energy 9,September 2019,152.6
Fresh fruit and vegetables,September 2019,141.0
Energy 9,September 2019,158.7
Food and energy 9,October 2019,152.4
Fresh fruit and vegetables,October 2019,138.3
Energy 9,October 2019,158.9
Food and energy 9,November 2019,153.1
Fresh fruit and vegetables,November 2019,145.8
Energy 9,November 2019,158.1
Food and energy 9,December 2019,153.7
Fresh fruit and vegetables,December 2019,153.7
Energy 9,December 2019,158.3
Food and energy 9,January 2020,154.9
Fresh fruit and vegetables,January 2020,155.5
Energy 9,January 2020,158.6
Food and energy 9,February 2020,153.9
Fresh fruit and vegetables,February 2020,151.4
Energy 9,February 2020,156.6
Food and energy 9,March 2020,149.4
Fresh fruit and vegetables,March 2020,146.4
Energy 9,March 2020,140.6
Food and energy 9,April 2020,146.8
Fresh fruit and vegetables,April 2020,150.8
Energy 9,April 2020,128.3
Food and energy 9,May 2020,149.5
Fresh fruit and vegetables,May 2020,148.2
Energy 9,May 2020,137.0
Food and energy 9,June 2020,152.4
Fresh fruit and vegetables,June 2020,152.5
Energy 9,June 2020,146.2
Food and energy 9,July 2020,153.6
Fresh fruit and vegetables,July 2020,155.6
Energy 9,July 2020,149.7
Food and energy 9,August 2020,152.5
Fresh fruit and vegetables,August 2020,150.7
Energy 9,August 2020,149.3
Food and energy 9,September 2020,151.8
Fresh fruit and vegetables,September 2020,145.9
Energy 9,September 2020,149.8
Food and energy 9,October 2020,152.2
Fresh fruit and vegetables,October 2020,148.3
Energy 9,October 2020,149.4
Food and energy 9,November 2020,152.5
Fresh fruit and vegetables,November 2020,150.0
Energy 9,November 2020,149.1
Food and energy 9,December 2020,153.2
Fresh fruit and vegetables,December 2020,150.4
Energy 9,December 2020,152.0
Food and energy 9,January 2021,154.8
Fresh fruit and vegetables,January 2021,154.3
Energy 9,January 2021,154.3
Food and energy 9,February 2021,157.0
Fresh fruit and vegetables,February 2021,156.5
Energy 9,February 2021,160.4
Food and energy 9,March 2021,158.8
Fresh fruit and vegetables,March 2021,150.8
Energy 9,March 2021,167.4
Food and energy 9,April 2021,159.5
Fresh fruit and vegetables,April 2021,146.0
Energy 9,April 2021,170.2
Food and energy 9,May 2021,161.2
Fresh fruit and vegetables,May 2021,149.0
Energy 9,May 2021,173.2
Food and energy 9,June 2021,161.8
Fresh fruit and vegetables,June 2021,149.0
Energy 9,June 2021,174.7
Food and energy 9,July 2021,163.6
Fresh fruit and vegetables,July 2021,148.5
Energy 9,July 2021,179.2
Food and energy 9,August 2021,164.2
Fresh fruit and vegetables,August 2021,147.0
Energy 9,August 2021,180.2
Food and energy 9,September 2021,164.5
Fresh fruit and vegetables,September 2021,144.3
Energy 9,September 2021,179.9
Food and energy 9,October 2021,167.0
Fresh fruit and vegetables,October 2021,144.5
Energy 9,October 2021,187.5
Food and energy 9,November 2021,168.4
Fresh fruit and vegetables,November 2021,153.0
Energy 9,November 2021,188.4
Food and energy 9,December 2021,167.9
Fresh fruit and vegetables,December 2021,156.9
Energy 9,December 2021,184.2
Food and energy 9,January 2022,171.1
Fresh fruit and vegetables,January 2022,161.1
Energy 9,January 2022,190.0
Food and energy 9,February 2022,175.1
Fresh fruit and vegetables,February 2022,162.4
Energy 9,February 2022,199.0
Food and energy 9,March 2022,180.3
Fresh fruit and vegetables,March 2022,160.7
Energy 9,March 2022,213.9
Food and energy 9,April 2022,181.7
Fresh fruit and vegetables,April 2022,159.1
Energy 9,April 2022,215.1
Food and energy 9,May 2022,187.6
Fresh fruit and vegetables,May 2022,165.0
Energy 9,May 2022,233.4
Food and energy 9,June 2022,190.1
Fresh fruit and vegetables,June 2022,163.6
Energy 9,June 2022,242.5
Food and energy 9,July 2022,187.7
Fresh fruit and vegetables,July 2022,163.5
Energy 9,July 2022,229.4
Food and energy 9,August 2022,184.8
Fresh fruit and vegetables,August 2022,163.3
Energy 9,August 2022,214.5
Food and energy 9,September 2022,183.3
Fresh fruit and vegetables,September 2022,161.9
Energy 9,September 2022,205.1
Food and energy 9,October 2022,187.0
Fresh fruit and vegetables,October 2022,159.0
Energy 9,October 2022,217.9
Food and energy 9,November 2022,187.7
Fresh fruit and vegetables,November 2022,169.9
Energy 9,November 2022,214.6
Food and energy 9,December 2022,183.5
Fresh fruit and vegetables,December 2022,176.4
Energy 9,December 2022,197.7
Food and energy 9,January 2023,186.5
Fresh fruit and vegetables,January 2023,182.1
Energy 9,January 2023,200.3
Food and energy 9,February 2023,186.7
Fresh fruit and vegetables,February 2023,182.0
Energy 9,February 2023,197.9
Food and energy 9,March 2023,187.3
Fresh fruit and vegetables,March 2023,175.3
Energy 9,March 2023,199.2
Food and energy 9,April 2023,189.6
Fresh fruit and vegetables,April 2023,172.8
Energy 9,April 2023,206.0
Food and energy 9,May 2023,190.3
Fresh fruit and vegetables,May 2023,177.3
Energy 9,May 2023,204.4
Food and energy 9,June 2023,191.1
Fresh fruit and vegetables,June 2023,178.6
Energy 9,June 2023,207.2
Food and energy 9,July 2023,192.6
Fresh fruit and vegetables,July 2023,174.7
Energy 9,July 2023,210.7
Food and energy 9,August 2023,194.5
Fresh fruit and vegetables,August 2023,171.1
Energy 9,August 2023,218.4
Food and energy 9,September 2023,193.8
Fresh fruit and vegetables,September 2023,170.9
Energy 9,September 2023,216.2
Food and energy 9,October 2023,191.0
Fresh fruit and vegetables,October 2023,166.8
Energy 9,October 2023,206.2
Food and energy 9,November 2023,190.9
Fresh fruit and vegetables,November 2023,175.7
Energy 9,November 2023,202.3
Food and energy 9,December 2023,189.9
Fresh fruit and vegetables,December 2023,179.5
Energy 9,December 2023,197.0
Food and energy 9,January 2024,190.3
Fresh fruit and vegetables,January 2024,184.4
Energy 9,January 2024,194.9
Food and energy 9,February 2024,191.7
Fresh fruit and vegetables,February 2024,183.4
Energy 9,February 2024,200.4
Food and energy 9,March 2024,192.7
Fresh fruit and vegetables,March 2024,175.8
Energy 9,March 2024,204.7
Food and energy 9,April 2024,195.2
Fresh fruit and vegetables,April 2024,172.2
Energy 9,April 2024,215.2
Food and energy 9,May 2024,195.7
Fresh fruit and vegetables,May 2024,177.2
Energy 9,May 2024,212.8
Food and energy 9,June 2024,195.2
Fresh fruit and vegetables,June 2024,178.0
Energy 9,June 2024,208.3
Food and energy 9,July 2024,196.5
Fresh fruit and vegetables,July 2024,179.4
Energy 9,July 2024,211.6
Food and energy 9,August 2024,195.5
Fresh fruit and vegetables,August 2024,176.3
Energy 9,August 2024,208.2
Food and energy 9,September 2024,192.8
Fresh fruit and vegetables,September 2024,176.3
Energy 9,September 2024,198.3
Food and energy 9,October 2024,193.1
Fresh fruit and vegetables,October 2024,171.5
Energy 9,October 2024,198.9
